bird_scientific,bird_english,bird_swedish,family_scientific,family_english,family_swedish,order_scientific,order_english,order_swedish,bird_details,bird_population
Motacilla flava,Yellow Wagtail,gulärla,Motacillidae,Wagtails and Pipits,Ärlor,PASSERIFORMES,Perching birds,TÄTTINGAR,Hf 3,3
Motacilla citreola,Citrine Wagtail,citronärla,Motacillidae,Wagtails and Pipits,Ärlor,PASSERIFORMES,Perching birds,TÄTTINGAR,T*,6
Motacilla cinerea,Grey Wagtail,forsärla,Motacillidae,Wagtails and Pipits,Ärlor,PASSERIFORMES,Perching birds,TÄTTINGAR,Hf 4,4
Motacilla alba,White Wagtail,sädesärla,Motacillidae,Wagtails and Pipits,Ärlor,PASSERIFORMES,Perching birds,TÄTTINGAR,Hf 2,2
Anthus richardi ,Richard's Pipit,större piplärka,Motacillidae,Wagtails and Pipits,Ärlor,PASSERIFORMES,Perching birds,TÄTTINGAR,T*,6
Anthus godlewskii,Blyth's Pipit,mongolpiplärka,Motacillidae,Wagtails and Pipits,Ärlor,PASSERIFORMES,Perching birds,TÄTTINGAR,T***,8
Anthus campestris,Tawny Pipit,fältpiplärka,Motacillidae,Wagtails and Pipits,Ärlor,PASSERIFORMES,Perching birds,TÄTTINGAR,Hf 4,4
Anthus pratensis,Meadow Pipit,ängspiplärka,Motacillidae,Wagtails and Pipits,Ärlor,PASSERIFORMES,Perching birds,TÄTTINGAR,Hf 1,1
Anthus trivialis,Tree Pipit,trädpiplärka,Motacillidae,Wagtails and Pipits,Ärlor,PASSERIFORMES,Perching birds,TÄTTINGAR,Hf 1,1
Anthus hodgsoni,Olive-backed Pipit,sibirisk piplärka,Motacillidae,Wagtails and Pipits,Ärlor,PASSERIFORMES,Perching birds,TÄTTINGAR,T**,7
Anthus gustavi,Pechora Pipit,tundrapiplärka,Motacillidae,Wagtails and Pipits,Ärlor,PASSERIFORMES,Perching birds,TÄTTINGAR,T***,8
Anthus cervinus,Red-throated Pipit,rödstrupig piplärka,Motacillidae,Wagtails and Pipits,Ärlor,PASSERIFORMES,Perching birds,TÄTTINGAR,Hf 4,4
Anthus rubescens,Buff-bellied Pipit,hedpiplärka,Motacillidae,Wagtails and Pipits,Ärlor,PASSERIFORMES,Perching birds,TÄTTINGAR,T***,8
Anthus spinoletta,Water Pipit,vattenpiplärka,Motacillidae,Wagtails and Pipits,Ärlor,PASSERIFORMES,Perching birds,TÄTTINGAR,V 5,5
Anthus petrosus,Eurasian Rock Pipit,skärpiplärka,Motacillidae,Wagtails and Pipits,Ärlor,PASSERIFORMES,Perching birds,TÄTTINGAR,Hf (s) 4,4
Fringilla coelebs,Common Chaffinch,bofink,Fringillidae,Finches,Finkar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hf 1 / (V),1
Fringilla montifringilla,Brambling,bergfink,Fringillidae,Finches,Finkar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hf 1 / V 2-5,1
Coccothraustes coccothraustes,Hawfinch,stenknäck,Fringillidae,Finches,Finkar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hs+f 3,3
Pinicola enucleator,Pine Grosbeak,tallbit,Fringillidae,Finches,Finkar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hs (f) 4,4
Pyrrhula pyrrhula,Eurasian Bullfinch,domherre,Fringillidae,Finches,Finkar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hs (f) 2,2
Bucanetes githagineus,Trumpeter Finch,ökentrumpetare,Fringillidae,Finches,Finkar,PASSERIFORMES,Perching birds,TÄTTINGAR,T***,8
Carpodacus erythrinus,Common Rosefinch,rosenfink,Fringillidae,Finches,Finkar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hf 4,4
Carpodacus sibiricus,Long-tailed Rosefinch,långstjärtad rosenfink,Fringillidae,Finches,Finkar,PASSERIFORMES,Perching birds,TÄTTINGAR,T****,9
Carpodacus roseus,Pallas's Rosefinch,sibirisk rosenfink,Fringillidae,Finches,Finkar,PASSERIFORMES,Perching birds,TÄTTINGAR,T****,9
Chloris chloris,European Greenfinch,grönfink,Fringillidae,Finches,Finkar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hs+f 1-2,2
Linaria flavirostris,Twite,vinterhämpling,Fringillidae,Finches,Finkar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hf 5 / F 3 / (V),3
Linaria cannabina,Common Linnet,hämpling,Fringillidae,Finches,Finkar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hf 2,2
Acanthis flammea,Redpoll,gråsiska,Fringillidae,Finches,Finkar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hs+f 1-2,2
Loxia pytyopsittacus,Parrot Crossbill,större korsnäbb,Fringillidae,Finches,Finkar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hs+f 3,3
Loxia curvirostra,Red Crossbill,mindre korsnäbb,Fringillidae,Finches,Finkar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hs+f 2-3,3
Loxia bifasciata,Two-barred Crossbill,bändelkorsnäbb,Fringillidae,Finches,Finkar,PASSERIFORMES,Perching birds,TÄTTINGAR,T*,6
Carduelis carduelis,European Goldfinch,steglits,Fringillidae,Finches,Finkar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hs+f 3,3
Serinus serinus,European Serin,gulhämpling,Fringillidae,Finches,Finkar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hf 5,5
Spinus spinus,Eurasian Siskin,grönsiska,Fringillidae,Finches,Finkar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hs+f 2,2
Calcarius lapponicus,Lapland Longspur,lappsparv,Calcariidae,Longspurs and Snow Buntings,Sporrsparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hs 2-3,3
Plectrophenax nivalis,Snow Bunting,snösparv,Calcariidae,Longspurs and Snow Buntings,Sporrsparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hf 3 / F / (V),3
Emberiza calandra,Corn Bunting,kornsparv,Emberizidae,Old World Buntings,Fältsparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hs 5,5
Emberiza citrinella,Yellowhammer,gulsparv,Emberizidae,Old World Buntings,Fältsparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hs (f) 1-2,1
Emberiza leucocephalos,Pine Bunting,tallsparv,Emberizidae,Old World Buntings,Fältsparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,T***,8
Emberiza cia,Rock Bunting,klippsparv,Emberizidae,Old World Buntings,Fältsparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,T***,8
Emberiza buchanani,Grey-necked Bunting,bergortolan,Emberizidae,Old World Buntings,Fältsparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,-,nil
Emberiza cineracea,Cinereous Bunting,gulgrå sparv,Emberizidae,Old World Buntings,Fältsparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,-,nil
Emberiza hortulana,Ortolan Bunting,ortolansparv,Emberizidae,Old World Buntings,Fältsparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hf 4,4
Emberiza caesia,Cretzschmar's Bunting,rostsparv,Emberizidae,Old World Buntings,Fältsparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,T***,8
Emberiza cirlus,Cirl Bunting,häcksparv,Emberizidae,Old World Buntings,Fältsparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,T***,8
Emberiza fucata,Chestnut-eared Bunting,rödkindad sparv,Emberizidae,Old World Buntings,Fältsparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,T****,9
Emberiza pusilla,Little Bunting,dvärgsparv,Emberizidae,Old World Buntings,Fältsparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hf 5,5
Emberiza chrysophrys,Yellow-browed Bunting,gulbrynad sparv,Emberizidae,Old World Buntings,Fältsparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,T***,8
Emberiza rustica,Rustic Bunting,videsparv,Emberizidae,Old World Buntings,Fältsparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hf 3-4,4
Emberiza aureola,Yellow-breasted Bunting,gyllensparv,Emberizidae,Old World Buntings,Fältsparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,T***,8
Emberiza melanocephala,Black-headed Bunting,svarthuvad sparv,Emberizidae,Old World Buntings,Fältsparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,T***,8
Emberiza bruniceps,Red-headed Bunting,stäppsparv,Emberizidae,Old World Buntings,Fältsparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,[T***],8
Emberiza spodocephala,Black-faced Bunting,gråhuvad sparv,Emberizidae,Old World Buntings,Fältsparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,-,nil
Emberiza pallasi,Pallas's Reed Bunting,dvärgsävsparv,Emberizidae,Old World Buntings,Fältsparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,-,nil
Emberiza schoeniclus,Common Reed Bunting,sävsparv,Emberizidae,Old World Buntings,Fältsparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,Hf 2 / (V),2
Spizelloides arborea,American Tree Sparrow,tundrasparv,Passerellidae,New World Sparrows,Amerikanska sparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,???,nil
Junco hyemalis,Dark-eyed Junco,mörkögd junco,Passerellidae,New World Sparrows,Amerikanska sparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,-,nil
Zonotrichia albicollis,White-throated Sparrow,vitstrupig sparv,Passerellidae,New World Sparrows,Amerikanska sparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,T***,8
Melospiza melodia,Song Sparrow,sångsparv,Passerellidae,New World Sparrows,Amerikanska sparvar,PASSERIFORMES,Perching birds,TÄTTINGAR,-,nil
Xanthocephalus xanthocephalus,Yellow-headed Blackbird,gulhuvad ängstrupial,Icteridae,New World Blackbirds,Trupialer,PASSERIFORMES,Perching birds,TÄTTINGAR,T****,9
Pheucticus ludovicianus,Rose-breasted Grosbeak,brokig kardinal,Cardinalidae,Cardinals and Grosbeaks,Kardinaler,PASSERIFORMES,Perching birds,TÄTTINGAR,T***,8
Passerina cyanea,Indigo Bunting,turkoskardinal,Cardinalidae,Cardinals and Grosbeaks,Kardinaler,PASSERIFORMES,Perching birds,TÄTTINGAR,[T***],8
